b40b05f6	b40b05f62347818aac71b064573e360ef644188d	2026-03-23	feat(frontend): display token usage per conversation turn (#1229)
0431a67b	0431a67b689cbc53154e46add4612c20a4cabfcd	2026-03-24	fix(frontend): filter task tool calls when rendering SubtaskCard (#1242)
48a19755	48a197555ba36e915e5450a5f2afba7157b6db76	2026-03-24	fix(frontend): fix the build error of i18n (#1274)
d0049ad9	d0049ad904b3fee1eeaaed3c6b82d60fc96de19e	2026-03-24	chron(ci):setup the lint check in frontend (#1276)
c5ddc6a1	c5ddc6a1716e7a13a23a07ddf569fc354fe4340b	2026-03-24	build(deps): bump h3 from 1.15.5 to 1.15.10 in /frontend (#1280)
4b15f146	4b15f1464745339fdede86ff17420397a1237d9f	2026-03-24	fix: repair frontend check command and docs (#1281)
6bf52674	6bf526748d7bfb32ff4899521899aac2f3eec02c	2026-03-24	fix(skills): follow symlinks when scanning custom skills directory (#1292)
a9940c39	a9940c391c684e01f3d4b5d508611f2d04764527	2026-03-24	fix(mcp): implement sync invocation wrapper for async MCP tools (#1287)
067b19af	067b19af00b9a5a7895cecf6073a571cd91fcf33	2026-03-24	fix: add Windows compatibility for make dev/start commands (#1297)
16ed797e	16ed797e0efc537a2215b3c7c59f9839edf22d21	2026-03-25	feat: add configurable log level and token usage tracking (#1301)
21febe1c	21febe1cc960d4346a6c14d516b828039832c887	2026-03-25	docs: add French translation of README (#1303)
f499f37e	f499f37e94fee02e49e00d4e1e25239d6f05ab72	2026-03-25	docs: add Russian README translation (#1311)
2eca58bd	2eca58bd86e861b694647f224634a6680361b9b7	2026-03-25	fix: add null checks for runtime.context in middlewares and tools (#1269)
97ad67db	97ad67db6b93cc5623318286d69fdeacd6fff84d	2026-03-25	docs: fix typo and grammar issues in docs (#1315)
afb0f66c	afb0f66c737d878add6c011ce383b59206097065	2026-03-24	test: add unit tests for skills parser (#1308)
ec46ae07	ec46ae075d8f91fbff9b0d227f76180e3ab64e49	2026-03-24	test: add unit tests for SubagentLimitMiddleware (#1306)
b8bc80d8	b8bc80d89b883d8682e523001f76fe5bb8d0e258	2026-03-25	refactor: extract shared skill installer and upload manager to harness (#1202)
12875664	12875664f11058329bb71d6c05dbb5dc7a0cc989	2026-03-25	docs: add domestic link of coding plan (#1340)
adc51e54	adc51e541c36d9ce4181a4ab40602f155df56414	2026-03-25	fix(frontend): add stable ids for chat resizable panels (#1341)
d7e51076	d7e510763d83d6ed0cd9be6485212005caace07a	2026-03-25	fix: add null checks for runtime.context and tighten langgraph constraint (#1326)
afe325d3	afe325d34e7d2eb7c5d28a541d4cf042eb83b3b9	2026-03-25	Fix command syntax for container image pull (#1349)
080a03f3	080a03f3bc1472838ef9ad8ae2a59f79d74dcd33	2026-03-26	fix(config): fix summarization model alias resolution (#1378)
a087fe7b	a087fe7bccd62a090480971dc1ba11c3581ba2d7	2026-03-26	fix(LLM): fixing Gemini thinking + tool calls via OpenAI gateway (#1180) (#1205)
4d1a69a9	4d1a69a9387de64a79a5b6641e929830d843c134	2026-03-26	fix(config): return full URLs for backend and LangGraph base URLs (#1392)
c0a6b818	c0a6b81852b091d9f1187b5d035d58607b80b0b1	2026-03-26	Add packages section to pnpm-workspace.yaml (#1382)
b3d3287b	b3d3287b80dfe7351622cf8d6f90adc7b2bc2896	2026-03-26	build(deps): bump requests from 2.32.5 to 2.33.0 in /backend (#1395)
